iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
23,1.034889185e-15,2.969176406e-09,6.867778989e-09,4.560289583e-11,0.003568051006
24,1.131813894e-15,2.991751488e-09,6.941907079e-09,5.64501636e-11,0.003244000905
25,1.122948001e-15,3.013950402e-09,7.008597154e-09,6.507801853e-11,0.002949659685
26,1.01711756e-15,3.035818367e-09,7.060128088e-09,6.780511117e-11,0.002683472551
27,9.249254089e-16,3.057381046e-09,7.096013624e-09,6.540917908e-11,0.00244339831
28,7.794755052e-16,3.078642614e-09,7.119443936e-09,5.860853061e-11,0.00222718463
29,7.418962532e-16,3.099585152e-09,7.134429096e-09,6.363000155e-11,0.002032545869
30,4.897647204e-16,3.120166762e-09,7.144374805e-09,4.301122313e-11,0.001857279095
31,5.267659782e-16,3.140342082e-09,7.151744131e-09,5.418715835e-11,0.001710852286
32,4.773850162e-16,3.16006649e-09,7.158142072e-09,5.177757466e-11,0.001576849685
33,8.256697175e-16,3.179286924e-09,7.164495447e-09,9.285818581e-11,0.001453405552
34,2.632464051e-16,3.19795216e-09,7.171293917e-09,3.406302268e-11,0.001339801428
35,1.774819898e-16,3.216016539e-09,7.178753832e-09,2.409889983e-11,0.001235329239
36,1.193151785e-16,3.233442218e-09,7.186929508e-09,1.769513745e-11,0.001142724615
37,1.226294067e-16,3.250200231e-09,7.195784605e-09,1.963147153e-11,0.001065746648
38,1.481795203e-16,3.266270688e-09,7.205236131e-09,2.691162059e-11,0.0009933487442
39,1.701113209e-16,3.281642363e-09,7.215180765e-09,3.42108213e-11,0.0009253949405
40,1.769858403e-16,3.296311893e-09,7.225510079e-09,3.834270557e-11,0.0008617231436
41,1.678211555e-16,3.310282785e-09,7.236119011e-09,3.832991629e-11,0.0008021527498
42,1.440887747e-16,3.323564341e-09,7.246910248e-09,3.542029036e-11,0.0007464910293
43,1.199923814e-16,3.336170597e-09,7.257796222e-09,3.195809142e-11,0.0006945383799
44,1.061425457e-16,3.348119333e-09,7.268699711e-09,3.010371834e-11,0.0006460925704
45,9.96856135e-17,3.359431186e-09,7.279553667e-09,3.013086634e-11,0.0006009521018
46,8.043446043e-17,3.370128871e-09,7.290300636e-09,2.545923004e-11,0.0005589188129
47,7.608875789e-17,3.380236516e-09,7.300891981e-09,2.758825236e-11,0.0005197998482
48,9.290140898e-17,3.389779117e-09,7.31128704e-09,3.46885896e-11,0.0004834090961
49,1.024633522e-16,3.398782081e-09,7.321452276e-09,4.074525644e-11,0.0004522299297
50,1.080492168e-16,3.407270861e-09,7.331360475e-09,4.591515706e-11,0.0004240077637
51,1.105132357e-16,3.415270674e-09,7.340989996e-09,5.030672743e-11,0.0003973575722
52,1.097212599e-16,3.422806276e-09,7.350324083e-09,5.389763261e-11,0.0003722201784
53,1.074400942e-16,3.429901795e-09,7.35935025e-09,5.649072689e-11,0.0003485341657
54,1.018595236e-16,3.436580608e-09,7.368059718e-09,5.709488861e-11,0.0003268711536
55,8.494491087e-17,3.442865257e-09,7.376446926e-09,4.886515216e-11,0.0003072143208
56,6.865731433e-17,3.448777391e-09,7.384509079e-09,4.298710267e-11,0.0002885972414
57,9.085169513e-17,3.454337731e-09,7.39224576e-09,6.069282999e-11,0.0002709833317
58,9.150687512e-17,3.45956606e-09,7.399658578e-09,6.446046478e-11,0.0002543347383
59,8.677852545e-17,3.464481218e-09,7.406750858e-09,6.551450805e-11,0.0002386127974
60,8.214758457e-17,3.469101116e-09,7.413527368e-09,6.570851223e-11,0.000223778436
61,7.683499392e-17,3.473442753e-09,7.419994078e-09,6.542642952e-11,0.0002097925165
62,7.154463789e-17,3.477522244e-09,7.426157944e-09,6.480530896e-11,0.0001966161307
63,6.505509496e-17,3.481365203e-09,7.432016683e-09,6.235663155e-11,0.0001842366484
64,5.743518657e-17,3.48497993e-09,7.437587504e-09,5.622038823e-11,0.0001726125397
65,4.66497043e-17,3.488375781e-09,7.442883999e-09,5.597006786e-11,0.000161692041
66,4.537979015e-17,3.491565438e-09,7.44791487e-09,5.834547318e-11,0.000151430534
67,4.189996704e-17,3.494560921e-09,7.452689052e-09,5.789757735e-11,0.0001417889443
68,3.931079908e-17,3.497373615e-09,7.457215684e-09,5.77568762e-11,0.0001327319694
69,3.72931666e-17,3.500014285e-09,7.461504045e-09,5.796234894e-11,0.0001242269454
