iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
134,7.29105077e-08,4.419280264e-09,3.750318671e-09,9.982005714e-11,0.0006068861298
135,7.209410346e-08,4.398125934e-09,3.669230584e-09,8.765636638e-11,0.0005977372353
136,7.128515242e-08,4.377258275e-09,3.570509606e-09,9.524642189e-11,0.0005887383333
137,7.048933877e-08,4.356685028e-09,3.458565516e-09,7.247285783e-11,0.0005798868929
138,6.970131657e-08,4.336412792e-09,3.337848957e-09,7.80954644e-11,0.0005713300528
139,6.892066646e-08,4.316447125e-09,3.212629646e-09,8.261115021e-11,0.0005630443323
140,6.814861952e-08,4.296792615e-09,3.0868016e-09,8.604035891e-11,0.0005548866796
141,6.738518217e-08,4.277452961e-09,2.963714006e-09,8.857095394e-11,0.0005468551448
142,6.659447455e-08,4.25843103e-09,2.846069624e-09,9.044328664e-11,0.0005389442943
143,6.582544199e-08,4.239955625e-09,2.73574442e-09,9.24666994e-11,0.0005311485899
144,6.507565606e-08,4.221822396e-09,2.633876506e-09,9.310761012e-11,0.000523473145
145,6.433753075e-08,4.203998544e-09,2.540840178e-09,9.335761434e-11,0.0005159171163
146,6.361447787e-08,4.186494422e-09,2.456386344e-09,9.381364381e-11,0.00050847833
147,6.290869742e-08,4.169313017e-09,2.379767204e-09,9.436252228e-11,0.0005011548517
148,6.22197338e-08,4.152454354e-09,2.309893726e-09,9.474155396e-11,0.0004939449669
149,6.154356877e-08,4.135917151e-09,2.245490426e-09,9.493807917e-11,0.0004868470294
150,6.08748098e-08,4.119699411e-09,2.185184181e-09,9.493887238e-11,0.0004798605617
151,6.03131571e-08,4.103841247e-09,2.127697219e-09,9.450872601e-11,0.0004729820425
152,5.977950742e-08,4.088366825e-09,2.071980889e-09,9.252040332e-11,0.0004662110938
153,5.919442468e-08,4.073207464e-09,2.017050845e-09,9.370613873e-11,0.0004595477285
154,5.854969958e-08,4.058492905e-09,1.962096939e-09,9.338340124e-11,0.0004528546644
155,5.797134665e-08,4.044190792e-09,1.906620564e-09,9.286740258e-11,0.0004460215648
156,5.741070133e-08,4.030195496e-09,1.850306571e-09,9.141715736e-11,0.0004394841246
157,5.684791595e-08,4.016503898e-09,1.793009866e-09,8.91757678e-11,0.0004331301424
158,5.630466617e-08,4.003111721e-09,1.73474231e-09,8.884662754e-11,0.0004269136714
159,5.577758718e-08,3.990014184e-09,1.675651059e-09,8.756888972e-11,0.0004208138333
160,5.523805571e-08,3.977206251e-09,1.615994378e-09,8.601540429e-11,0.000414819921
161,5.468724137e-08,3.964682726e-09,1.556117315e-09,8.415435198e-11,0.0004089337315
162,5.407323575e-08,3.952438314e-09,1.496379142e-09,8.207046888e-11,0.0004032988702
163,5.345609736e-08,3.94052701e-09,1.437257309e-09,7.954587458e-11,0.0003974243777
